"pitches", "player_id", "player_name"           , "total_pitches", "pitch_percent", "ba" , "iso", "babip", "slg", "woba", "xwoba", "xba", "hits", "abs", "launch_speed", "launch_angle", "spin_rate", "velocity", "effective_speed", "whiffs", "swings", "takes", "eff_min_vel"       , "release_extension", "pos3_int_start_distance", "pos4_int_start_distance", "pos5_int_start_distance", "pos6_int_start_distance", "pos7_int_start_distance", "pos8_int_start_distance", "pos9_int_start_distance", "pitcher_run_exp", "run_exp", "bat_speed", "swing_length", "pa", "bip", "singles", "doubles", "triples", "hrs", "so", "k_percent", "bb", "bb_percent", "api_break_z_with_gravity", "api_break_z_induced", "api_break_x_arm", "api_break_x_batter_in", "hyper_speed", "bbdist", "hardhit_percent"   , "barrels_per_bbe_percent", "barrels_per_pa_percent", "release_pos_z", "release_pos_x", "plate_x", "plate_z", "obp", "barrels_total", "batter_run_value_per_100", "xobp", "xslg", "pitcher_run_value_per_100", "xbadiff", "xobpdiff"            , "xslgdiff", "wobadiff", "swing_miss_percent", "arm_angle", "attack_angle", "attack_direction", "swing_path_tilt", "rate_ideal_attack_angle", "intercept_ball_minus_batter_pos_x_inches", "intercept_ball_minus_batter_pos_y_inches"
       75,      641796, "Locastro, Tim"         ,             166,            45.2, 0.2  , 0.4  ,   0.1  , 0.6  ,  0.377,   0.513, 0.375,      3,    15,           88.2, -2.2          ,        2136,       87.4,             87.32,        8,       35,      40, -0.10000000000000853,                6.23,                       108,                       151,                       108,                       146,                       302,                       318,                       290, "-2.629"         , "2.629"  ,            ,               ,   17,    12,         1,         0,         0,     2,    3,        17.6,    2,         11.8,                    2.3032 ,               0.7188 , 0.67507          , -0.67507               , "93.1"       ,      156,  41.66666666666667  ,       16.666666666666664 ,      11.76470588235294  ,            5.82,            2.04, 0.2      ,      2.3 , 0.294,               2, "3.505333333"             ,  0.453,  0.765, "-3.505333333"             , -0.175   , -0.15900000000000003  , -0.165    , -0.136    ,                 22.9, "37.8"     ,               ,                   ,                  ,                          ,                                           , 
       43,      672724, "Peraza, Oswald"        ,             160,            26.9, 0.222, 0    ,   0.25 , 0.222,  0.348,   0.473, 0.365,      2,     9,           85.3, 10.6          ,        2177,       90.8,             90.37,        3,       15,      28, -0.3999999999999915 ,                6.15,                       108,                       153,                       117,                       146,                       302,                       325,                       286, "-0.569"         , "0.569"  ,            ,               ,   13,     8,         2,         0,         0,     0,    1,         7.7,    4,         30.8,                    1.79372,               1.01628, 0.62119          , -0.62119               , "91.4"       ,      152,  37.5               ,       12.5               ,       7.6923076923076925,            5.91,            1.64, 0.03     ,      2.31, 0.462,               1, "1.323255814"             ,  0.56 ,  0.498, "-1.323255814"             , -0.143   , -0.09800000000000003  , -0.276    , -0.125    ,                 20  , "39.6"     ,               ,                   ,                  ,                          ,                                           , 
       29,      680700, "Palacios, Richie"      ,             513,             5.7, 0    , 0    ,        , 0    ,  0.464,   0.464,      ,      0,     2,               ,               ,        2411,       88.6,             88.56,        3,        5,      24, 0                   ,                6.27,                       111,                       150,                       126,                       142,                       280,                       311,                       291, "-0.538"         , "0.538"  ,            ,               ,    6,     0,         0,         0,         0,     0,    2,        33.3,    3,         50  ,                    2.44793,               0.48552, 0.04552          , 0.04552                , "88.0"       ,        3,                     ,                          ,       0                 ,            5.92,            1.67, -0.27    ,      2.11, 0.667,               0, "1.855172414"             ,  0.667,       , "-1.855172414"             ,          , 0                     ,           , 0         ,                 60  , "38.8"     ,               ,                   ,                  ,                          ,                                           , 
      234,      543685, "Rendon, Anthony"       ,             759,            30.8, 0.239, 0.261,   0.219, 0.5  ,  0.374,   0.449, 0.315,     11,    46,           91.9, 10.3          ,        2195,       88.4,             88.21,       27,       95,     139, -0.20000000000000284,                6.31,                       103,                       151,                       118,                       145,                       306,                       323,                       297, "-1.662"         , "1.662"  ,            ,               ,   59,    36,         7,         0,         0,     4,   12,        20.3,   10,         16.9,                    2.46808,               0.50687, 0.50291          , -0.50291               , "93.1"       ,      184,  47.22222222222222  ,       16.666666666666664 ,      10.16949152542373  ,            5.93,            1.72, 0.08     ,      2.16, 0.373,               6, "0.71025641"              ,  0.448,  0.569, "-0.71025641"              , -0.076   , -0.07500000000000001  , -0.069    , -0.075    ,                 28.4, "39.0"     ,               ,                   ,                  ,                          ,                                           , 
      586,      502671, "Goldschmidt, Paul"     ,            2701,            21.7, 0.411, 0.402,   0.461, 0.813,  0.549,   0.448, 0.323,     46,   112,           92.3, 18.7          ,        2230,       88.1,             88.02,       62,      238,     348, -0.09999999999999432,                6.27,                       104,                       152,                       123,                       147,                       308,                       325,                       299, "-29.884"        , "29.884" ,            ,               ,  136,    87,        23,        12,         0,    11,   25,        18.4,   22,         16.2,                    2.32039,               0.66227, 0.35913          , -0.35913               , "93.2"       ,      189,  52.87356321839081  ,       16.091954022988507 ,      10.294117647058822 ,            5.98,            1.89, 0.06     ,      2.43, 0.511,              14, "5.099658703"             ,  0.439,  0.607, "-5.099658703"             , 0.088    , 0.07200000000000001   , 0.206     , 0.101     ,                 26.1, "39.6"     ,               ,                   ,                  ,                          ,                                           , 
      748,      670541, "Alvarez, Yordan"       ,            2195,            34.1, 0.321, 0.265,   0.356, 0.586,  0.424,   0.444, 0.313,     52,   162,           95.7, 12            ,        2220,       88.8,             88.7 ,       68,      316,     432, -0.09999999999999432,                6.36,                       119,                       163,                       135,                       153,                       291,                       331,                       304, "-17.546"        , "17.546" ,            ,               ,  192,   128,        29,        13,         0,    10,   37,        19.3,   25,         13  ,                    2.29198,               0.65921, 0.47643          , 0.47643                , "94.5"       ,      164,  61.71875           ,       21.09375           ,      14.0625            ,            5.87,            2.11, -0.1     ,      2.28, 0.411,              27, "2.345721925"             ,  0.407,  0.646, "-2.345721925"             , 0.008    , 0.0040000000000000036 , -0.06     , -0.02     ,                 21.5, "37.4"     ,               ,                   ,                  ,                          ,                                           , 
       36,      678662, "Tovar, Ezequiel"       ,             126,            28.6, 0.364, 0.364,   0.333, 0.727,  0.464,   0.443, 0.374,      4,    11,           95.4, 12.8          ,        2328,       86.8,             86.89,        5,       22,      14, 0.10000000000000853 ,                6.31,                       109,                       154,                       117,                       146,                       307,                       313,                       285, "-2.202"         , "2.202"  ,            ,               ,   11,    10,         2,         1,         0,     1,    1,         9.1,    0,          0  ,                    2.33   ,               0.74889, 0.07028          , -0.07028               , "95.3"       ,      158,  50                 ,       20                 ,      18.181818181818183 ,            6.24,            1.75, -0.08    ,      1.97, 0.364,               2, "6.116666667"             ,  0.374,  0.662, "-6.116666667"             , -0.01    , -0.010000000000000009 , 0.065     , 0.021     ,                 22.7, "51.5"     ,               ,                   ,                  ,                          ,                                           , 
       24,      641432, "Calhoun, Willie"       ,             233,            10.3, 0.4  , 0.2  ,   0.667, 0.6  ,  0.472,   0.441, 0.379,      2,     5,           92.7, 20.7          ,        2335,       85.4,             85.11,        3,        9,      15, -0.30000000000001137,                6.2 ,                        94,                       152,                       121,                       146,                       289,                       320,                       294, "-0.681"         , "0.681"  ,            ,               ,    6,     3,         1,         1,         0,     0,    2,        33.3,    1,         16.7,                    2.84083,               0.34417, 0.05292          , 0.05292                , "96.0"       ,      195,  66.66666666666666  ,        0                 ,       0                 ,            5.19,            2.53, -0.46    ,      1.99, 0.5  ,               0, "2.8375"                  ,  0.482,  0.504, "-2.8375"                  , 0.021    , 0.018000000000000016  , 0.096     , 0.031     ,                 33.3, "27.8"     ,               ,                   ,                  ,                          ,                                           , 
      288,      641598, "Garver, Mitch"         ,             943,            30.5, 0.269, 0.365,   0.216, 0.635,  0.43 ,   0.441, 0.298,     14,    52,           90.8, 13.5          ,        2099,       86  ,             85.79,       26,      120,     168, -0.20000000000000284,                6.24,                       105,                       151,                       122,                       144,                       304,                       327,                       294, "-10.038"        , "10.038" ,            ,               ,   64,    43,         7,         1,         0,     6,   10,        15.6,   10,         15.6,                    2.66601,               0.49328, 0.49222          , -0.49222               , "92.8"       ,      174,  39.53488372093023  ,       13.953488372093023 ,       9.375             ,            5.81,            2.06, 0.09     ,      2.36, 0.391,               6, "3.485416667"             ,  0.415,  0.633, "-3.485416667"             , -0.029   , -0.023999999999999966 , 0.002     , -0.011    ,                 21.7, "37.5"     ,               ,                   ,                  ,                          ,                                           , 
      568,      545361, "Trout, Mike"           ,            2105,            27  , 0.31 , 0.328,   0.355, 0.638,  0.441,   0.432, 0.292,     36,   116,           91.5, 18.7          ,        2149,       89  ,             88.96,       58,      239,     329, 0                   ,                6.33,                       105,                       162,                       120,                       146,                       310,                       329,                       298, "-16.266"        , "16.266" ,            ,               ,  134,    85,        16,        11,         0,     9,   31,        23.1,   17,         12.7,                    2.09349,               0.82779, 0.54588          , -0.54588               , "93.0"       ,      173,  49.411764705882355 ,       20                 ,      12.686567164179104 ,            5.92,            1.87, 0.09     ,      2.52, 0.403,              17, "2.863732394"             ,  0.387,  0.627, "-2.863732394"             , 0.018    , 0.016000000000000014  , 0.011     , 0.009     ,                 24.3, "40.1"     ,               ,                   ,                  ,                          ,                                           , 
