"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
160,666181,"Benson, Will",181,88.4,0.342,0.474,0.32,0.816,0.499,0.53,0.368,13,38,95.2,10.2,2269,89.1,89.24,24,86,74,0.10000000000000853,6.46,114,146,117,151,298,324,295,"-6.626","6.626","71.5","7.4",43,30,5,3,0,5,9,20.9,3,7,2.32487,0.59377,0.1493,-0.1493,"93.4",182,63.33333333333333,30,20.930232558139537,5.85,-1.96,0.13,2.54,0.395,9,"4.14125",0.431,0.821,"-4.14125",-0.026,-0.035999999999999976,-0.005,-0.031,27.9,"37.6",14.05344704247059,-1.5337411460304997,32.78410529744097,0.5119047619047619,39.379544224015454,25.049774179688082
672,660271,"Ohtani, Shohei",946,71,0.27,0.401,0.256,0.672,0.438,0.503,0.331,37,137,97.6,13.4,2248,89.5,89.63,87,290,382,0.09999999999999432,6.36,118,147,133,152,301,324,306,"-16.032","16.032","75.1","8.0",161,98,16,3,2,16,40,24.8,23,14.3,2.36159,0.52352,0.36456,-0.36456,"95.3",170,68.36734693877551,24.489795918367346,14.906832298136646,5.77,-1.88,-0.11,2.19,0.373,24,"2.385714286",0.425,0.805,"-2.385714286",-0.061,-0.05199999999999999,-0.133,-0.065,30,"36.6",14.96952099404566,-3.246963984358348,36.99937743286801,0.5563380281690141,39.13067255653963,28.340549462446155
329,606466,"Marte, Ketel",453,72.6,0.313,0.373,0.28,0.687,0.464,0.466,0.326,21,67,92.7,11.6,2216,88.9,89.13,30,135,194,0.19999999999998863,6.48,117,146,118,152,295,327,302,"-8.925","8.925","71.0","7.7",78,57,10,4,0,7,10,12.8,9,11.5,2.51505,0.42301,0.25687,-0.25687,"94.4",143,56.14035087719298,21.052631578947366,15.384615384615385,5.74,-1.88,-0.21,2.23,0.41,12,"2.712765957",0.421,0.693,"-2.712765957",-0.013,-0.01100000000000001,-0.006,-0.002,22.2,"38.6",12.651928501292947,-5.9567728216930185,33.51227980632376,0.6818181818181818,31.797664983084932,37.10488665930931
75,807712,"Keaschall, Luke",95,78.9,0.429,0.143,0.462,0.571,0.515,0.463,0.325,6,14,91.7,16.6,2438,89.1,88.83,3,27,48,-0.29999999999999716,6.29,110,152,119,146,301,324,291,"-3.644","3.644","64.3","6.7",20,13,4,2,0,0,1,5,5,25,2.52227,0.38947,0.32311,0.32311,"93.0",162,46.15384615384615,15.384615384615385,10,5.94,-2.02,0.45,2.03,0.6,2,"4.858666667",0.528,0.525,"-4.858666667",0.104,0.07199999999999995,0.046,0.052,11.1,"38.9",11.392516397066332,-3.806624872102466,38.162388470124554,0.5833333333333334,37.42658191671508,33.02380568158094
563,665833,"Cruz, Oneil",781,72.1,0.286,0.304,0.338,0.589,0.418,0.461,0.307,32,112,99.1,10.7,2270,88.4,88.55,60,213,350,0.19999999999998863,6.46,120,146,127,152,305,327,300,"-11.696","11.696","77.1","7.6",135,75,18,4,0,10,39,28.9,20,14.8,2.59817,0.36909,0.33801,-0.33801,"95.9",159,66.66666666666666,29.333333333333332,16.296296296296298,5.67,-1.79,-0.16,2.26,0.393,22,"2.077442274",0.42,0.655,"-2.077442274",-0.021,-0.02699999999999997,-0.066,-0.043,28.2,"37.1",8.173679577996278,-4.758228167332428,34.13859655744018,0.49282296650717705,37.40635968007876,33.766755298714166
764,592450,"Judge, Aaron",895,85.4,0.386,0.289,0.482,0.675,0.482,0.455,0.335,64,166,95,16.7,2332,89.6,89.85,117,351,413,0.30000000000001137,6.5,108,151,125,145,309,332,298,"-23.614","23.614","74.6","8.0",190,121,40,11,2,11,46,24.2,21,11.1,2.40791,0.47283,0.17163,0.17163,"94.4",179,52.892561983471076,20.66115702479339,13.157894736842104,5.73,-1.92,0.27,2.26,0.458,25,"3.090837696",0.413,0.672,"-3.090837696",0.051,0.04500000000000004,0.003,0.027,33.3,"37.2",13.524657438944102,-5.1453641162561645,39.19792293074394,0.5290697674418605,42.265572184254815,30.0790994706787
420,663757,"Grisham, Trent",668,62.9,0.286,0.374,0.25,0.659,0.435,0.441,0.296,26,91,92.2,23.6,2240,90,90.07,28,160,260,0.09999999999999432,6.42,119,147,108,152,294,326,298,"-9.446","9.446","69.6","7.6",103,74,13,2,1,10,17,16.5,12,11.7,2.27402,0.59494,0.48621,-0.48621,"93.1",183,47.2972972972973,21.62162162162162,15.53398058252427,5.74,-1.94,-0.14,2.37,0.369,16,"2.249047619",0.378,0.68,"-2.249047619",-0.01,-0.009000000000000008,-0.021,-0.006,17.5,"36.4",15.946554478041472,0.9690218222253982,29.81905279262828,0.5394736842105263,40.03154633068015,24.73767852499126
721,646240,"Devers, Rafael",1062,67.9,0.279,0.294,0.308,0.574,0.418,0.441,0.298,38,136,95.3,19.1,2222,90.4,90.59,115,334,386,0.19999999999998863,6.49,116,146,128,152,284,325,308,"-10.388","10.388","71.1","7.5",168,101,18,10,0,10,37,22,30,17.9,2.04906,0.80403,0.54808,-0.54808,"93.3",185,59.4059405940594,18.81188118811881,11.30952380952381,5.7,-1.96,-0.15,2.6,0.405,19,"1.440776699",0.427,0.605,"-1.440776699",-0.019,-0.021999999999999964,-0.031,-0.023,34.4,"36.9",7.704633843624904,7.568525366496367,29.60686688712241,0.5245398773006135,34.68942549591649,26.397624807840245
220,665019,"Clemens, Kody",262,84,0.286,0.388,0.323,0.673,0.437,0.441,0.319,14,49,96.9,13.5,2249,90.2,90.43,26,107,113,0.20000000000000284,6.53,118,146,118,152,296,324,299,"-5.405","5.405","72.2","7.3",55,35,4,5,1,4,14,25.5,4,7.3,2.09882,0.80023,0.35859,-0.35859,"94.1",177,68.57142857142857,17.142857142857142,10.909090909090908,5.7,-1.96,-0.15,2.43,0.364,6,"2.456818182",0.393,0.653,"-2.456818182",-0.033,-0.029000000000000026,0.02,-0.004,24.3,"36.0",11.380437552054511,-1.4747165170335699,29.064590263202337,0.6346153846153846,36.227190394439354,32.67706637938412
496,518692,"Freeman, Freddie",654,75.8,0.375,0.313,0.427,0.688,0.474,0.439,0.339,42,112,94,15.8,2230,90.4,90.64,67,244,252,0.19999999999998863,6.41,115,146,127,151,295,320,302,"-15.82","15.82","68.3","6.8",128,89,22,12,1,7,25,19.5,13,10.2,2.19288,0.62729,0.43485,-0.43485,"92.6",171,50.56179775280899,13.48314606741573,9.375,5.76,-1.83,-0.12,2.3,0.438,12,"3.189516129",0.408,0.633,"-3.189516129",0.036,0.030000000000000027,0.055,0.035,27.5,"36.8",9.973498003494937,2.31402391430871,42.668295987268756,0.5083333333333333,39.5019189287306,26.37194533136091
