"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
12,596142,"Sánchez, Gary",19,63.2,0.667,1.333,0.5,2,0.95,0.857,0.658,2,3,94.4,15.7,1912,74.9,72.75,0,4,8,-2.1000000000000085,4.92,120,153,128,145,321,320,294,"-2.591","2.591","72.6","6.7",5,3,0,1,0,1,0,0,1,20,3.12083,1.25333,0.61417,0.61417,"97.3",202,66.66666666666666,33.33333333333333,20,6.42,-1.68,-0.13,2.97,0.8,1,"21.591666667",0.795,1.628,"-21.591666667",0.009,0.0050000000000000044,0.372,0.093,0,"31.8",15.750934672351836,-4.307391086076609,29.435782941777145,0.75,29.619633051611455,33.4642905358825
27,622761,"Mateo, Jorge",35,77.1,0.571,0.429,0.5,1,0.683,0.749,0.657,4,7,94,17.6,1240,65.5,63.27,0,12,15,-2.200000000000003,4.44,121,151,127,143,330,319,294,"-2.234","2.234","72.7","7.0",9,7,3,0,0,1,0,0,1,11.1,4.34074,1.08667,0.67111,0.67111,"93.5",182,42.857142857142854,14.285714285714285,11.11111111111111,6.64,-1.02,-0.72,2.63,0.667,1,"8.274074074",0.733,1.113,"-8.274074074",-0.086,-0.06599999999999995,-0.113,-0.066,0,"39.2",12.356872150396374,-6.168815007136539,33.003696780999284,0.6363636363636364,30.420435151535994,38.13309777468935
36,700270,"Díaz, Yilber",60,60,0.6,0.2,0.75,0.8,0.64,0.666,0.577,3,5,106.5,9.5,2397,88.5,88.02,2,11,25,-0.5,5.98,109,151,126,148,314,324,298,"-2.433","2.433","76.3","7.2",8,4,2,1,0,0,1,12.5,3,37.5,2.545,0.43278,0.31083,0.31083,"99.5",198,100,25,12.5,5.74,-1.03,0.58,2.38,0.75,1,"6.758333333",0.736,0.944,"-6.758333333",0.023,0.014000000000000012,-0.144,-0.026,18.2,"45.3",12.362851265237786,9.777777752360183,28.79729482086197,0.6666666666666666,37.716101797953186,29.165322496364553
20,642708,"Rosario, Amed",28,71.4,0.8,0.6,0.75,1.4,0.874,0.657,0.52,4,5,96.4,4.2,1147,47.3,45.58,0,6,14,-1.6999999999999957,4.28,111,152,126,146,301,319,304,"-2.882","2.882","74.6","7.4",7,5,3,0,0,1,0,0,2,28.6,9.0025,1.4435,0.3405,0.3405,"95.0",147,60,20,14.285714285714285,7.22,-1.29,0.42,2.56,0.857,1,"14.41",0.657,1.01,"-14.41",0.28,0.19999999999999996,0.39,0.217,0,"47.6",17.381260221355294,-6.774548974034452,32.780349813568726,0.8,36.297549144734276,33.250362063407785
40,642048,"Saucedo, Tayler",84,47.6,0.4,0.3,0.375,0.7,0.51,0.645,0.478,4,10,91.3,16.8,2231,86.7,86.95,7,18,22,0.20000000000000284,6.57,108,151,121,144,289,316,282,"-1.22","1.22","71.7","7.5",12,9,3,0,0,1,1,8.3,2,16.7,2.67775,0.379,1.38825,-1.38825,"94.1",211,44.44444444444444,22.22222222222222,16.666666666666664,5.56,1.94,0.44,2.15,0.5,2,"3.05",0.565,1.04,"-3.05",-0.078,-0.06499999999999995,-0.34,-0.135,38.9,"25.8",9.678494081986834,-1.498968123471323,31.64829409096872,0.47058823529411764,44.46070708603218,32.97126628083781
23,453286,"Scherzer, Max",128,18,0.429,0.571,0.5,1,0.603,0.596,0.424,3,7,103.5,11.4,2324,89.4,89.06,3,9,14,-0.30000000000001137,6.22,109,152,120,148,299,326,298,"-2.852","2.852","65.9","7.1",7,5,1,1,0,1,2,28.6,0,0,1.92043,0.96261,0.48391,0.48391,"100.9",224,60,40,28.57142857142857,5.63,-2.91,0.3,2.12,0.429,2,"12.4",0.424,1.017,"-12.4",0.005,0.0050000000000000044,-0.017,0.007,33.3,"31.8",10.1740461048848,7.752059439888214,31.588257239624188,0.5714285714285714,38.55579247514238,27.780239106235214
50,676702,"Stratton, Hunter",91,54.9,0.667,0.333,0.556,1,0.654,0.595,0.566,6,9,91.9,12.8,2611,91.1,91.65,4,24,26,0.6000000000000085,6.53,99,146,109,141,296,312,290,"-2.983","2.983","71.5","7.2",11,10,5,0,0,1,0,0,1,9.1,2.0656,0.704,-0.266,-0.266,"93.3",220,50,10,9.090909090909092,5.93,-1.12,0.49,2.4,0.636,1,"5.966",0.554,0.966,"-5.966",0.101,0.08199999999999996,0.034,0.059,16.7,"41.1",7.745261607749713,4.737856683481819,27.470375737820934,0.4583333333333333,39.89318445020361,26.881383579914836
117,695534,"Petty, Chase",169,69.2,0.6,0.6,0.643,1.2,0.748,0.59,0.448,12,20,92.2,11.5,2346,92.4,92.19,15,50,67,-0.20000000000000284,6.37,105,152,120,147,295,324,289,"-9.25","9.25","69.8","7.5",27,17,6,3,0,3,3,11.1,6,22.2,2.11291,0.58863,0.72368,0.72368,"93.2",171,47.05882352941176,17.647058823529413,11.11111111111111,5.44,-1.56,0.32,2.24,0.704,3,"7.905982906",0.591,0.859,"-7.905982906",0.152,0.11299999999999999,0.341,0.158,30,"31.8",10.18160101897236,-3.87945870918075,32.07412249288028,0.5102040816326531,38.37414504524465,33.735077495227266
23,690829,"Joyce, Ben",70,32.9,0.286,0.571,0.167,0.857,0.503,0.584,0.327,2,7,93.9,13.4,2196,97.1,97.88,1,11,12,0.8000000000000114,6.75,106,146,114,142,307,317,289,"-1.71","1.71","73.0","7.4",8,7,0,1,0,1,0,0,1,12.5,1.68391,0.7513,0.89174,0.89174,"94.0",184,42.857142857142854,28.57142857142857,25,5.32,-1.83,-0.01,2.5,0.375,2,"7.434782609",0.411,1.053,"-7.434782609",-0.041,-0.035999999999999976,-0.196,-0.081,9.1,"31.6",4.770548474832434,10.11224396714317,28.61989483948073,0.4444444444444444,39.23443587017618,22.629221036550742
24,694851,"Hoffmann, Andrew",45,53.3,0.4,0.6,0.333,1,0.591,0.578,0.39,2,5,96.3,22.5,2018,89.8,90.78,1,10,14,1,6.72,101,152,127,149,300,326,308,"-1.63","1.63","73.3","7.5",5,4,1,0,0,1,1,20,0,0,2.30625,0.525,0.23417,0.23417,"91.7",188,50,25,20,5.73,-0.86,0.18,2.09,0.4,1,"6.791666667",0.39,1.014,"-6.791666667",0.01,0.010000000000000009,-0.014,0.013,10,"48.9",9.735451006289805,0.28386359323524146,37.100631652738485,0.7,35.58492383775904,27.49689737993479
